alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
KEN,03,84.66774193548385,67.76129032258065,7.67741935483871,76.21451612903225
KEN,04,83.55800000000002,67.068,8.45,75.31299999999999
KEN,12,85.07,65.77,11.0,75.41999999999999
KGZ,01,19.859032258064524,3.1106451612903228,1.6451612903225807,11.48483870967742
KGZ,02,28.19,11.466551724137933,2.9310344827586206,19.828275862068963
KGZ,03,40.989677419354834,23.611935483870965,4.354838709677419,32.30080645161291
KGZ,04,57.345000000000006,34.974,5.9,46.159499999999994
KGZ,12,22.57,3.97,1.0,13.27
KHM,01,93.58193548387096,70.76741935483872,8.290322580645162,82.17467741935486
KHM,02,95.65689655172415,70.99379310344828,9.89655172413793,83.32534482758624
KHM,03,98.56870967741939,75.57903225806453,9.935483870967742,87.07387096774194
KHM,04,94.89649999999999,76.83500000000001,9.0,85.86575
KHM,12,94.74,73.42,5.0,84.08
KOR,01,45.04064516129033,28.894516129032265,2.3870967741935485,36.96758064516129
KOR,02,47.97655172413791,28.92620689655173,3.3448275862068964,38.451379310344834
KOR,03,57.53032258064515,35.00096774193548,5.0,46.26564516129034
